organization_id,organization_name,alias,organization_type,registration_number,address,city,state,country,industry,status,source_id,confidence_score,created_at,updated_at
O0001,Mishra Trading,,Retail Business,REG795717,"891, Ben Chowk",Bengaluru,Karnataka,India,Retail,Under Review,SRC019,0.84,2025-05-02 06:42:23,2025-05-08 05:12:58
O0002,Jain Transport,,Trading Firm,REG260632,"24, Bhatia Street",Jaipur,Rajasthan,India,Transport,Under Review,SRC010,0.95,2025-04-09 11:34:42,2025-04-24 23:34:42
O0003,Deshmukh Trading,,Retail Business,REG526899,"22, Sampath Marg",Gurugram,Haryana,India,Retail,Active,SRC012,0.88,2026-01-23 22:25:04,2026-06-11 15:42:05
O0004,Singh Solutions,,Transport Company,REG165119,"495, Sarin Circle",Jaipur,Rajasthan,India,Manufacturing,Active,SRC022,0.88,2026-08-05 11:57:05,2026-09-01 15:57:05
O0005,Malhotra Transport,Org-0005,Retail Business,REG343338,"00/858, Madan Path",Bengaluru,Karnataka,India,Retail,Inactive,SRC002,0.82,2025-07-13 18:55:24,2025-11-23 16:23:12
O0006,Yadav Solutions,,Transport Company,REG360126,"H.No. 16, Ganguly Chowk",Jabalpur,Madhya Pradesh,India,Logistics,Active,SRC027,0.88,2026-07-22 05:40:17,2026-07-26 01:40:17
O0007,Rathore Logistics,,Construction Company,REG398077,"95/261, Das Chowk",Dewas,Madhya Pradesh,India,Transport,Inactive,SRC028,0.97,2025-05-14 08:45:43,2025-06-07 18:45:43
O0008,Gupta Industries,Org-0008,Trading Firm,REG236376,"37/20, Sarkar Zila",Kota,Rajasthan,India,Retail,Active,SRC018,0.93,2024-09-05 09:09:34,2025-09-26 15:36:25
O0009,Tiwari Industries,,Consultancy,REG665797,"H.No. 71, Kanda Ganj",Gurugram,Haryana,India,Logistics,Inactive,SRC014,0.81,2024-05-10 10:54:37,2024-11-13 08:09:04
O0010,Saxena Transport,,Retail Business,REG638548,"96/348, Kari Zila",Ahmedabad,Gujarat,India,Hospitality,Inactive,SRC008,0.87,2024-01-18 15:21:34,2024-02-04 13:00:28
O0011,Agarwal Logistics,,Logistics Company,REG273274,"25, Contractor Marg",Surat,Gujarat,India,Finance,Inactive,SRC005,0.81,2025-10-12 03:52:49,2025-10-22 09:52:49
O0012,Bansal Solutions,,Hospitality Business,REG712368,"H.No. 581, Tata Circle",Dewas,Madhya Pradesh,India,Logistics,Inactive,SRC027,0.98,2025-11-05 04:18:19,2025-11-30 02:18:19
O0013,Chauhan Transport,,Manufacturing Firm,REG651521,"H.No. 466, Bala Zila",Nagpur,Maharashtra,India,Transport,Active,SRC018,0.9,2026-03-27 16:02:52,2026-04-18 11:02:52
O0014,Tiwari Enterprises,,Logistics Company,REG444287,"58/16, Wadhwa Zila",Dewas,Madhya Pradesh,India,Finance,Active,SRC008,0.82,2025-08-18 20:01:57,2025-11-27 08:02:46
O0015,Khan Industries,,NGO,REG582629,"H.No. 36, Chowdhury Marg",Pune,Maharashtra,India,Retail,Under Review,SRC025,0.96,2024-10-17 20:49:52,2024-11-06 21:49:52
O0016,Khan Logistics,,Hospitality Business,REG500173,"18/78, Bhandari Path",Mumbai,Maharashtra,India,Hospitality,Inactive,SRC005,0.95,2026-07-23 18:19:44,2026-07-25 17:19:44
O0017,Tiwari Services,,NGO,REG836544,"36/125, Mane Zila",Gurugram,Haryana,India,Technology,Active,SRC016,0.83,2024-06-10 13:49:24,2025-10-04 19:04:04
O0018,Chauhan Logistics,,Construction Company,REG106597,"H.No. 891, Muni Street",Delhi,Delhi,India,Manufacturing,Inactive,SRC018,0.84,2024-03-02 15:57:03,2026-03-03 12:20:46
O0019,Yadav Logistics,,Logistics Company,REG526455,"H.No. 219, Kala Ganj",Nagpur,Maharashtra,India,Finance,Under Review,SRC018,0.84,2025-06-15 13:33:45,2025-07-09 16:33:45
O0020,Malhotra Solutions,,Retail Business,REG603671,"60/328, Sawhney",Pune,Maharashtra,India,Construction,Inactive,SRC029,0.88,2025-08-08 19:41:21,2026-07-27 06:18:23
O0021,Singh Industries,,Consultancy,REG623979,"37, Pillai Chowk",Mumbai,Maharashtra,India,Logistics,Active,SRC009,0.86,2025-02-27 21:38:38,2025-12-22 22:52:02
O0022,Bansal Enterprises,,Consultancy,REG328929,"10/894, Devi Path",Surat,Gujarat,India,Logistics,Active,SRC025,0.89,2024-01-31 14:59:45,2024-05-02 23:29:48
O0023,Khan Transport,,Consultancy,REG123745,"40/37, Lala Marg",Jabalpur,Madhya Pradesh,India,Transport,Under Review,SRC006,0.95,2025-07-22 14:56:32,2025-11-06 09:44:44
O0024,Singh Enterprises,,Security Agency,REG530487,"098, Nagarajan Road",Bhopal,Madhya Pradesh,India,Construction,Under Review,SRC026,0.89,2024-12-17 06:30:52,2025-11-25 19:33:04
O0025,Verma Enterprises,,Hospitality Business,REG599831,"H.No. 54, Kumer",Delhi,Delhi,India,Retail,Inactive,SRC026,0.91,2026-02-26 09:21:35,2026-03-06 05:21:35
O0026,Chauhan Industries,,Transport Company,REG653274,"H.No. 413, Jain Marg",Ahmedabad,Gujarat,India,Hospitality,Inactive,SRC013,0.92,2024-05-23 21:49:32,2026-05-07 04:43:08
O0027,Malhotra Transport,,Security Agency,REG882371,"H.No. 333, Apte Ganj",Ahmedabad,Gujarat,India,Hospitality,Inactive,SRC024,0.84,2024-12-04 09:30:58,2024-12-31 23:30:58
O0028,Khan Transport,,Construction Company,REG397191,"H.No. 113, Dey Chowk",Dewas,Madhya Pradesh,India,Technology,Inactive,SRC018,0.89,2026-07-05 12:01:56,2026-07-29 10:01:56
O0029,Sharma Logistics,,Hospitality Business,REG269534,"90, Gole Circle",Delhi,Delhi,India,Construction,Under Review,SRC020,0.85,2025-12-23 10:02:35,2026-01-09 21:02:35
O0030,Shah Industries,,Security Agency,REG267415,"52/211, Chawla Zila",Surat,Gujarat,India,Hospitality,Inactive,SRC002,0.89,2025-05-17 14:41:10,2025-05-30 23:41:10
