crime_id,case_id,crime_type,crime_category,description,event_date,event_time,location_id,severity_level,modus_operandi,status,source_document_id,confidence_score,created_at,updated_at
CR00001,C00441,Extortion,Property,Synthetic case narrative describing a reported extortion incident. The record contains source-derived details for graph correlation and requires verification.,2025-03-03,22:42:41,L02495,Critical,False identity,Under Investigation,DOC00165,0.78,2025-06-05 00:41:08,2025-06-28 23:41:08
CR00002,C01080,Robbery,Financial,Synthetic case narrative describing a reported robbery incident. The record contains source-derived details for graph correlation and requires verification.,2024-07-24,02:43:22,L02201,Low,Online impersonation,Closed,DOC00999,0.74,2025-01-26 22:47:27,2026-01-23 00:32:22
CR00003,C00763,Assault,Financial,Synthetic case narrative describing a reported assault incident. The record contains source-derived details for graph correlation and requires verification.,2026-06-18,09:11:54,L02137,Medium,Forged documents,Reported,DOC00140,0.85,2024-08-17 18:49:11,2025-07-10 09:36:33
CR00004,C00848,Smuggling,Cyber,Aperiam animi adipisci amet consequatur molestias autem omnis amet accusantium reprehenderit labore voluptate illo eum veniam error error.,2024-10-22,00:44:11,L01694,Medium,False identity,Reported,DOC02850,0.93,2024-07-09 09:12:56,2026-04-23 08:19:50
CR00005,C00959,Forgery,Violent,Synthetic case narrative describing a reported forgery incident. The record contains source-derived details for graph correlation and requires verification.,2024-12-08,05:39:50,L01918,Medium,Vehicle-based movement,Under Investigation,DOC02776,0.74,2024-06-01 22:00:11,2026-04-14 21:37:25
CR00006,C00186,Robbery,Financial,Synthetic case narrative describing a reported robbery incident. The record contains source-derived details for graph correlation and requires verification.,2025-05-10,23:20:55,L00609,Critical,False identity,Confirmed,DOC00219,0.97,2026-02-03 18:30:29,2026-02-04 17:30:29
CR00007,C00605,Smuggling,Violent,Synthetic case narrative describing a reported smuggling incident. The record contains source-derived details for graph correlation and requires verification.,2024-02-06,05:03:47,L02132,Low,Layered transactions,Reported,DOC02285,0.85,2025-01-18 21:41:48,2025-02-06 09:41:48
CR00008,C00924,Robbery,Cyber,Synthetic case narrative describing a reported robbery incident. The record contains source-derived details for graph correlation and requires verification.,2024-02-26,17:32:50,L00532,High,Coordinated calls,Under Investigation,DOC02352,0.8,2025-02-24 16:17:27,2026-08-04 07:31:51
CR00009,C00504,Extortion,Cyber,Synthetic case narrative describing a reported extortion incident. The record contains source-derived details for graph correlation and requires verification.,2025-08-15,22:01:28,L01800,Critical,False identity,Under Investigation,DOC01719,0.87,2025-07-17 00:44:42,2025-11-02 23:35:56
CR00010,C00167,Vehicle Theft,Organized,Synthetic case narrative describing a reported vehicle theft incident. The record contains source-derived details for graph correlation and requires verification.,2024-11-29,04:55:06,L01653,Critical,Layered transactions,Under Investigation,DOC01906,0.95,2024-01-26 22:24:31,2026-08-24 22:11:43
CR00011,C00363,Extortion,Violent,Synthetic case narrative describing a reported extortion incident. The record contains source-derived details for graph correlation and requires verification.,2025-12-25,17:19:15,L01089,Medium,Layered transactions,Confirmed,DOC02438,0.9,2025-03-12 18:26:26,2025-03-20 02:26:26
CR00012,C00487,Money Laundering,Organized,Synthetic case narrative describing a reported money laundering incident. The record contains source-derived details for graph correlation and requires verification.,2024-05-28,11:14:22,L02006,High,Forged documents,Closed,DOC02272,0.73,2026-06-24 22:54:42,2026-07-09 18:54:42
CR00013,C01116,Burglary,Cyber,Laboriosam assumenda hic omnis iusto quidem molestias eaque ad.,2025-04-23,17:23:04,L00689,Medium,Forged documents,Closed,DOC02289,0.8,2025-03-07 04:16:30,2025-04-01 09:16:30
CR00014,C00618,Vehicle Theft,Organized,Synthetic case narrative describing a reported vehicle theft incident. The record contains source-derived details for graph correlation and requires verification.,2025-04-23,17:08:01,L00195,Critical,Forged documents,Under Investigation,DOC00171,0.86,2025-08-10 01:50:35,2025-08-28 07:50:35
CR00015,C00359,Illegal Gambling,Violent,Synthetic case narrative describing a reported illegal gambling incident. The record contains source-derived details for graph correlation and requires verification.,2025-01-27,12:07:22,L02324,Critical,Forged documents,Confirmed,DOC00316,0.83,2025-11-02 16:04:14,2026-05-21 13:17:23
CR00016,C00831,Fraud,Organized,Synthetic case narrative describing a reported fraud incident. The record contains source-derived details for graph correlation and requires verification.,2025-01-19,02:25:56,L00077,Medium,Forged documents,Confirmed,DOC00315,0.74,2025-05-22 13:39:53,2025-10-14 08:37:12
CR00017,C01089,Extortion,Cyber,Synthetic case narrative describing a reported extortion incident. The record contains source-derived details for graph correlation and requires verification.,2025-12-15,09:57:07,L00626,High,Online impersonation,Reported,DOC00943,0.79,2025-12-06 23:28:32,2026-02-22 15:02:34
CR00018,C00489,Assault,Financial,Synthetic case narrative describing a reported assault incident. The record contains source-derived details for graph correlation and requires verification.,2025-09-08,06:43:56,L01067,Low,Vehicle-based movement,Under Investigation,DOC01809,0.92,2025-02-16 06:18:47,2025-08-07 02:56:09
CR00019,C00576,Fraud,Organized,Synthetic case narrative describing a reported fraud incident. The record contains source-derived details for graph correlation and requires verification.,2024-04-03,21:14:01,L01244,Medium,Coordinated calls,Closed,DOC02832,0.85,2026-02-27 03:45:07,2026-03-24 03:45:07
CR00020,C00591,Burglary,Financial,Occaecati dicta unde voluptate hic veniam veritatis deleniti optio perspiciatis maiores labore a illum.,2024-06-08,21:50:40,L01119,Low,False identity,Under Investigation,DOC02975,0.75,2024-10-27 21:14:46,2025-06-10 10:54:41
CR00021,C00822,Extortion,Organized,Synthetic case narrative describing a reported extortion incident. The record contains source-derived details for graph correlation and requires verification.,2025-06-07,20:41:06,L00828,Critical,Layered transactions,Reported,DOC02877,0.93,2026-01-06 14:50:51,2026-02-02 18:50:51
CR00022,C00541,Vehicle Theft,Violent,Synthetic case narrative describing a reported vehicle theft incident. The record contains source-derived details for graph correlation and requires verification.,2024-08-22,19:14:11,L01758,Low,Forged documents,Closed,DOC01300,0.77,2026-08-25 14:13:43,2026-09-04 23:59:59
CR00023,C01101,Robbery,Organized,Eligendi perferendis numquam voluptatum ducimus maxime nam provident recusandae reprehenderit consequatur hic.,2026-05-17,09:34:48,L02070,High,False identity,Reported,DOC02281,0.92,2025-04-28 01:29:48,2025-05-24 13:24:05
CR00024,C01016,Illegal Gambling,Property,Synthetic case narrative describing a reported illegal gambling incident. The record contains source-derived details for graph correlation and requires verification.,2026-03-28,21:41:16,L00962,Critical,Vehicle-based movement,Confirmed,DOC02133,0.74,2026-08-15 13:44:40,2026-08-18 09:44:40
CR00025,C00440,Assault,Violent,Synthetic case narrative describing a reported assault incident. The record contains source-derived details for graph correlation and requires verification.,2025-10-29,04:04:32,L01436,Medium,False identity,Confirmed,DOC01418,0.75,2024-06-22 14:22:22,2026-04-15 14:02:40
