event_id,event_type,event_name,description,start_timestamp,end_timestamp,location_id,case_id,primary_entity_type,primary_entity_id,source_id,evidence_id,confidence_score,created_at
E00001,INCIDENT,Event 00001,Synthetic incident event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2026-06-08 19:21:33,2026-06-09 05:06:33,L00401,C01050,PERSON,P00583,SRC019,EV01374,0.75,2025-05-06 19:23:55
E00002,TRANSACTION,Event 00002,Synthetic transaction event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-03-01 17:54:34,2025-03-02 03:34:34,L01378,C00921,PERSON,P00358,SRC017,EV03777,0.89,2024-04-08 03:51:54
E00003,TRAVEL,Event 00003,Synthetic travel event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-08-23 13:20:53,2025-08-23 17:54:53,L01666,,PERSON,P03151,SRC009,EV01343,0.72,2026-08-18 16:31:57
E00004,INCIDENT,Event 00004,Officia nisi voluptatem vitae maxime repellat qui odio dignissimos accusantium.,2025-09-19 12:33:38,2025-09-19 19:38:38,L01528,,PERSON,P01863,SRC019,EV02774,0.94,2025-05-29 16:48:57
E00005,INCIDENT,Event 00005,Synthetic incident event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2026-06-30 13:14:00,2026-07-01 00:04:00,L00117,C00108,PERSON,P00145,SRC011,EV04934,0.81,2026-07-31 21:30:27
E00006,TRANSACTION,Event 00006,Facilis cum excepturi iusto possimus soluta perspiciatis id sint.,2024-11-08 00:15:14,2024-11-08 06:43:14,L02468,C00875,PERSON,P01801,SRC004,EV02812,0.7,2024-10-07 13:21:42
E00007,TRANSACTION,Event 00007,Synthetic transaction event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2026-06-09 05:32:49,2026-06-09 10:56:49,L01099,C00908,PERSON,P00774,SRC012,EV02388,0.88,2025-07-28 00:27:22
E00008,ARREST,Event 00008,Synthetic arrest event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-10-24 16:39:10,2025-10-24 18:08:10,L02018,C00780,PERSON,P03990,SRC028,EV03019,0.86,2024-01-16 18:58:22
E00009,TRANSACTION,Event 00009,Temporibus eius animi unde molestias molestiae numquam amet minima explicabo debitis quam ab.,2024-10-27 05:08:46,2024-10-27 13:05:46,L01594,C01084,PERSON,P00633,SRC013,EV02478,0.75,2025-10-02 19:43:11
E00010,MEETING,Event 00010,Synthetic meeting event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2024-02-06 14:31:47,2024-02-06 15:47:47,L01217,C00668,PERSON,P00276,SRC021,EV01282,0.88,2025-04-21 17:26:37
